time,phiDeg,thetaDeg,psiDeg,omegaX,omegaY,omegaZ,wheel1,wheel2,wheel3,wheel4,uX,uY,uZ
607,-0.600040938495562,-0.281607840228858,0.211685709921659,2.59719416384249e-05,1.24812376871058e-05,-9.57363328087377e-06,8.74507075249222e-05,2.30858511425381e-05,-6.01187367475424e-05,2.91087430574193e-05,-0.000104256648164895,-3.98917917825108e-05,4.33127961075697e-05
608,-0.598552177108721,-0.280899351063376,0.211145206200149,2.59045702076062e-05,1.24480742591108e-05,-9.54813292824951e-06,8.73751429727381e-05,2.29782282460735e-05,-6.00230485054732e-05,2.90582253669467e-05,-0.000104151917210518,-3.9755002483853e-05,4.32462742676937e-05
609,-0.597067282350174,-0.280192729693196,0.210606123775098,2.58374455443375e-05,1.24150292934542e-05,-9.52272543997277e-06,8.73002251235601e-05,2.28714803867396e-05,-5.99285545631366e-05,2.90078967242796e-05,-0.000104047942105948,-3.96191973691273e-05,4.31808375807489e-05
610,-0.595586240070233,-0.279487969519683,0.210068457558225,2.57705653153678e-05,1.23821018997577e-05,-9.4974100625702e-06,8.72259441545992e-05,2.27655983268606e-05,-5.98352403742127e-05,2.89577545231753e-05,-0.000103944711523682,-3.94843656959429e-05,4.31164730051304e-05
611,-0.594109036252551,-0.278785063993695,0.209532202502455,2.57039272201928e-05,1.2349291197436e-05,-9.47218605181141e-06,8.71522903450459e-05,2.26605728866254e-05,-5.97430915187528e-05,2.89077961767166e-05,-0.000103842214249352,-3.93504967909316e-05,4.30531676144467e-05
612,-0.592635657012245,-0.278084006615033,0.208997353601414,2.56375289907345e-05,1.2316596315635e-05,-9.44705267262937e-06,8.70792540763304e-05,2.2556394945423e-05,-5.96520937041327e-05,2.88580191176828e-05,-0.00010374043917954,-3.9217580048633e-05,4.29909086009227e-05
613,-0.591166088594042,-0.277384790931906,0.208463905888926,2.5571368391012e-05,1.2284016393172e-05,-9.42200919903886e-06,8.70068258322393e-05,2.24530554431952e-05,-5.95622327658799e-05,2.88084207989206e-05,-0.000103639375335424,-3.908560494638e-05,4.29296832626951e-05
614,-0.589700317370443,-0.276687410540385,0.207931854438516,2.55054432168152e-05,1.22515505784665e-05,-9.3970549140576e-06,8.69349961991003e-05,2.2350545381487e-05,-5.94734946685134e-05,2.87589986935721e-05,-0.000103539011836458,-3.8954561018845e-05,4.28694790311554e-05
615,-0.588238329839906,-0.275991859083877,0.207401194362915,2.54397512953829e-05,1.22191980294764e-05,-9.37218910962153e-06,8.68637558658995e-05,2.22488558246062e-05,-5.93858655061454e-05,2.87097502954646e-05,-0.000103439337927353,-3.88244378860596e-05,4.2810283444692e-05
616,-0.586780112625049,-0.275298130252583,0.206871920813575,2.53742904850682e-05,1.21869579136336e-05,-9.34741108650577e-06,8.67930956242746e-05,2.21479779008169e-05,-5.9299331503247e-05,2.86606731193539e-05,-0.000103340342964889,-3.86952252414317e-05,4.27520841626322e-05
617,-0.585325652470863,-0.274606217782982,0.206344028980182,2.53090586750249e-05,1.21548294077659e-05,-9.32272015423749e-06,8.67230063687153e-05,2.20479028029438e-05,-5.92138790149867e-05,2.86117647011932e-05,-0.000103242016418709,-3.8566912852937e-05,4.26948689649934e-05
618,-0.583874936242962,-0.2739161154573,0.205817514090176,2.5244053784862e-05,1.21228116980417e-05,-9.29811563101819e-06,8.6653479096324e-05,2.1948621789858e-05,-5.91294945280016e-05,2.85630225984078e-05,-0.000103144347882384,-3.84394905759181e-05,4.26386257419415e-05
